Date,Price
2018-06-25,6218.595
2018-06-26,6105.295000000001
2018-06-27,6107.8961538461535
2018-06-28,5908.702499999999
2018-06-29,6381.390833333334
2018-06-30,6374.754166666667
2018-07-01,6466.069166666667
2018-07-02,6613.685833333333
2018-07-03,6593.2891666666665
2018-07-04,6603.376666666667
2018-07-05,6569.496153846154
2018-07-06,6594.281666666667
2018-07-07,6753.559166666666
2018-07-08,6723.8725
2018-07-09,6510.791666666667
2018-07-10,6377.363333333334
2018-07-11,6233.595
2018-07-12,6244.357499999999
2018-07-13,6241.0
2018-07-14,6316.881666666667
2018-07-15,6514.390833333334
2018-07-16,6869.910833333332
2018-07-17,7398.661666666667
2018-07-18,7396.401666666666
2018-07-19,7428.045000000001
2018-07-20,7352.495384615385
2018-07-21,7451.2891666666665
2018-07-22,7689.884166666667
2018-07-23,8112.93
2018-07-24,8251.164999999999
2018-07-25,8187.324166666666
2018-07-26,8025.2575
2018-07-27,8182.251666666667
2018-07-28,8206.341666666667
2018-07-29,8143.1483333333335
2018-07-30,7916.800833333334
2018-07-31,7570.869166666666
2018-08-01,7593.149166666667
2018-08-02,7394.499166666667
2018-08-03,7247.769166666666
2018-08-04,6998.718333333333
2018-08-05,6988.079166666666
2018-08-06,6993.513333333333
2018-08-07,6450.366923076922
2018-08-08,6396.7725
2018-08-09,6396.4946666666665
2018-08-10,6195.653333333335
2018-08-11,6311.131666666667
2018-08-12,6347.07
2018-08-13,6050.942500000001
2018-08-14,6362.676923076923
2018-08-15,6342.629230769231
2018-08-16,6476.900000000001
2018-08-17,6436.720833333334
2018-08-18,6404.063333333334
2018-08-19,6434.559166666667
2018-08-20,6401.246153846154
2018-08-21,6575.229166666667
2018-08-22,6434.881666666667
2018-08-23,6543.645714285715
2018-08-24,6719.429230769231
2018-08-25,6673.274166666666
2018-08-26,6719.266153846153
2018-08-27,7000.040000000002
2018-08-28,7054.276428571429
2018-08-29,6932.662499999999
2018-08-30,6981.9461538461555
2018-08-31,7100.946666666667
2018-09-01,7247.9353846153845
2018-09-02,7260.949230769231
2018-09-03,7326.8525
2018-09-04,7113.069230769231
2018-09-05,6433.2716666666665
2018-09-06,6444.804166666668
2018-09-07,6366.107500000001
2018-09-08,6286.425833333334
2018-09-09,6297.877692307693
2018-09-10,6296.320833333334
2018-09-11,6273.1375
2018-09-12,6450.179230769231
2018-09-13,6499.0625
2018-09-14,6518.655000000002
2018-09-15,6480.644166666668
2018-09-16,6400.600833333334
2018-09-17,6296.631666666667
2018-09-18,6335.826666666665
2018-09-19,6418.562666666668
2018-09-20,6669.990833333333
2018-09-21,6709.312500000001
2018-09-22,6710.445000000001
2018-09-23,6639.304166666666
2018-09-24,6412.459166666667
2018-09-25,6468.631666666668
2018-09-26,6535.4766666666665
2018-09-27,6677.342500000002
2018-09-28,6550.474166666667
2018-09-29,6593.135000000001
