Date,volume
2017-02-06,40471212.353163786
2017-02-07,63366305.51740329
2017-02-08,141974564.61620772
2017-02-09,64475260.19908332
2017-02-10,29598254.94199764
2017-02-11,14753502.29439118
2017-02-12,29689012.949139353
2017-02-13,39199176.35124729
2017-02-14,22919392.2049625
2017-02-15,41105343.50097638
2017-02-16,50584844.50901646
2017-02-17,29732832.51673826
2017-02-18,18054662.2987521
2017-02-19,32526100.41369879
2017-02-20,67820657.9251045
2017-02-21,59657200.093271285
2017-02-22,70101141.96999004
2017-02-23,137557162.43656254
2017-02-24,44343352.24492109
2017-02-25,32750847.123128362
2017-02-26,39226303.274664536
2017-02-27,44954233.92674727
2017-02-28,60151968.377197854
2017-03-01,83439118.76588912
2017-03-02,64767014.966313675
2017-03-03,30448848.511100117
2017-03-04,27572866.812270917
2017-03-05,38898409.98370173
2017-03-06,102987980.74901986
2017-03-07,101928717.12295525
2017-03-08,64999435.16003756
2017-03-09,227913163.14667737
2017-03-10,82143460.83637705
2017-03-11,52464174.42203355
2017-03-12,67990532.0203525
2017-03-13,51575349.191295885
2017-03-14,48633668.4881237
2017-03-15,125468036.18318745
2017-03-16,145734375.19879827
2017-03-17,167014110.7836648
2017-03-18,94921242.90584181
2017-03-19,58718869.96288475
2017-03-20,78169421.51979661
2017-03-21,97353030.7961921
2017-03-22,47857364.16172551
2017-03-23,83342548.58983836
2017-03-24,104602038.36913723
2017-03-25,71646630.04780254
2017-03-26,79080569.24120276
2017-03-27,70342663.94495207
2017-03-28,61677763.73387659
2017-03-29,65011056.2650536
2017-03-30,75018988.16812257
2017-03-31,40562346.19171107
2017-04-01,59295644.25587124
2017-04-02,90396475.17006625
2017-04-03,67370298.17887816
2017-04-04,58001639.01304203
2017-04-05,92291084.78897868
2017-04-06,60427563.19576686
2017-04-07,31335396.147668086
2017-04-08,45470746.36708978
2017-04-09,41204040.55288183
2017-04-10,39985187.81933621
2017-04-11,41882984.8895408
2017-04-12,61700362.55843429
2017-04-13,43219939.69092474
2017-04-14,21547006.668841098
2017-04-15,19916836.26311818
2017-04-16,45260449.243080854
2017-04-17,51782316.24403811
2017-04-18,38464163.437011
2017-04-19,61652281.026328936
2017-04-20,42287714.16804253
2017-04-21,47589977.23383464
2017-04-22,48203962.263300814
2017-04-23,39096538.33477005
2017-04-24,45876269.76824805
2017-04-25,64754541.495937236
2017-04-26,62204334.61485792
2017-04-27,61518505.25318574
2017-04-28,45569576.92016287
2017-04-29,43853713.714990795
2017-04-30,102136864.53701383
2017-05-01,86306466.16076525
2017-05-02,98768076.02241386
2017-05-03,178681011.55674708
2017-05-04,136654833.4594339
2017-05-05,68907283.75413479
2017-05-06,62492472.18849168
2017-05-07,139627613.28551883
2017-05-08,167512042.52841023
2017-05-09,131817395.91052718
2017-05-10,151505814.83102825
2017-05-11,139214052.65164253
2017-05-12,111469417.308369
2017-05-13,61547076.230614714
2017-05-14,102816017.7328264
2017-05-15,108385267.36933565
2017-05-16,132248945.78021987
2017-05-17,110766531.51847771
2017-05-18,154137281.04762277
2017-05-19,136549462.17992795
2017-05-20,128454137.15352945
2017-05-21,295717901.86295235
2017-05-22,203482045.58008078
2017-05-23,248904779.14844665
2017-05-24,401279047.70303935
2017-05-25,324426983.6410173
2017-05-26,321289966.61279124
2017-05-27,185870201.0672532
2017-05-28,133826839.14723794
2017-05-29,148703191.10427397
2017-05-30,204425185.1255558
2017-05-31,198826825.00748628
2017-06-01,122456001.78464411
2017-06-02,129006639.1283743
2017-06-03,120095754.43380383
2017-06-04,168803116.2943173
2017-06-05,371264851.94856316
2017-06-06,205713695.0411865
2017-06-07,174094195.56920913
2017-06-08,108367646.93500721
2017-06-09,154123952.09749928
2017-06-10,181774994.37694332
2017-06-11,393739719.8560203
2017-06-12,204283558.77325466
2017-06-13,268520562.44632876
2017-06-14,435834778.6454966
2017-06-15,195907758.54303885
2017-06-16,158849628.78788093
2017-06-17,146939437.21946678
2017-06-18,146249310.0476668
2017-06-19,204123502.96961603
2017-06-20,208033200.75403142
2017-06-21,143429984.70501465
2017-06-22,91452068.35525821
2017-06-23,146373123.47503456
2017-06-24,135111001.58831695
2017-06-25,237329706.38785124
2017-06-26,239311708.3413396
2017-06-27,157399624.66481197
2017-06-28,107906654.0618434
2017-06-29,103718383.04063688
2017-06-30,105511589.73927331
2017-07-01,96748666.51122706
2017-07-02,131455113.20711017
2017-07-03,130187106.93450896
2017-07-04,119861961.70348343
2017-07-05,93522266.98794703
2017-07-06,116912656.4443124
2017-07-07,91133549.9590164
2017-07-08,56620250.183561996
2017-07-09,163706108.82153362
2017-07-10,184411999.56184912
2017-07-11,153172924.85336658
2017-07-12,106346343.51029706
2017-07-13,133121604.15202287
2017-07-14,205297978.82580423
2017-07-15,152530374.28804657
2017-07-16,242313696.00736725
2017-07-17,262461203.84922445
2017-07-18,186988238.2237867
2017-07-19,281540460.6510425
2017-07-20,384806565.89971805
2017-07-21,215642445.09162393
2017-07-22,169964412.20341045
2017-07-23,139976350.7537848
2017-07-24,288015952.52724457
2017-07-25,176626997.82260647
2017-07-26,146490393.91523167
2017-07-27,232077673.06113806
2017-07-28,127294021.51886895
2017-07-29,152859034.1212597
2017-07-30,127009234.07663846
2017-07-31,214878001.37883702
2017-08-01,117440138.30737165
2017-08-02,113131475.0368071
2017-08-03,106217903.3954463
2017-08-04,344352179.13661176
2017-08-05,122798187.41230571
2017-08-06,198345493.0300774
2017-08-07,241759565.088791
2017-08-08,199170113.9757855
2017-08-09,153824056.618621
2017-08-10,195208159.0426822
2017-08-11,332122906.1376139
2017-08-12,381628414.1546703
2017-08-13,168021272.43739656
2017-08-14,592573698.1099374
